Organization Name,Town/City,County,Tier & Rating,Sub Tier
Abbeyfield Primary Academy,Sheffield,Argyll,Tier 2 (A rating),Tier 2 General
Abbeyside Nursing Home Limited,Elgin,Moray,Tier 2 (A rating),Tier 2 General
Abbots Healthcare Ltd,Abbots Langley,Hertfordshire,Tier 2 (A rating),Tier 2 General
Abbotsford Care (Glenrothes) Ltd,Kirkcaldy,Fife,Tier 2 (A rating),Tier 2 General
Abbott Diabetes Care UK Limited,Witney,Oxon,Tier 2 (A rating),Tier 2 General
Abbott Diabetes Care UK Limited,Witney,Oxon,Tier 2 (A rating),Intra Company Transfers (ICT)
Abbott Laboratories Limited,Maidenhead,Berkshire,Tier 2 (A rating),Tier 2 General
Abbott Laboratories Limited,Maidenhead,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Abbott Risk Consulting Ltd,Edinburgh,Berkshire,Tier 2 (A rating),Tier 2 General
Abbott Risk Consulting Ltd,Edinburgh,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Abbott Toxicology Limited,Oxfordshire,Berkshire,Tier 2 (A rating),Tier 2 General
Abbott Toxicology Limited,Oxfordshire,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Abbvie Limited,Maidenhead,Berkshire,Tier 2 (A rating),Tier 2 General
Abbvie Limited,Maidenhead,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
ABBVL Limited,London,Greater London,Tier 2 (A rating),Tier 2 General
ABC International Bank Plc,London,Greater London,Tier 2 (A rating),Tier 2 General
ABC International Bank Plc,London,Greater London,Tier 2 (A rating),Intra Company Transfers (ICT)
Abcam plc,Cambridge,Greater London,Tier 2 (A rating),Tier 2 General
Abcam plc,Cambridge,Greater London,Tier 2 (A rating),Intra Company Transfers (ICT)
ABCO Marine Ltd,Lisburn,Co. Antrim,Tier 2 (A rating),Tier 2 General
"ABeam Consulting Ltd., UK Branch",London,Co. Antrim,Tier 2 (A rating),Tier 2 General
"ABeam Consulting Ltd., UK Branch",London,Co. Antrim,Tier 2 (A rating),Intra Company Transfers (ICT)
Abel & Imray,London,Co. Antrim,Tier 2 (A rating),Tier 2 General
Abell Chemist Limited,Bushey,Hetfordshire,Tier 2 (A rating),Tier 2 General
Abellio London Ltd,London,Hetfordshire,Tier 2 (A rating),Tier 2 General
Abercorn School,London,Hetfordshire,Tier 2 (A rating),Tier 2 General
Abercrombie & Kent Limited,Cheltenham,Gloucestershire,Tier 2 (A rating),Tier 2 General
Aberdeen City Council,Aberdeen,Gloucestershire,Tier 2 (A rating),Tier 2 General
Aberdeen Drilling Management Limited,Aberdeen,Gloucestershire,Tier 2 (A rating),Tier 2 General
Aberdeen Drilling School,Aberdeen,Aberdeenshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Aberdeen Drilling School,Aberdeen,Aberdeenshire,Tier 2 (A rating),Tier 2 General
Aberdeen Football Club,Aberdeen,Aberdeenshire,Tier 2 (A rating),Sport
Aberdeen Football Club,Aberdeen,Aberdeenshire,Tier 5 (A rating),Creative & Sporting
Aberdeen Hindu Temple Trust,Aberdeen,Aberdeenshire,Tier 5 (A rating),Religious Workers
ABERDEEN PERFORMING ARTS,Aberdeen,SCOTLAND,Tier 5 (A rating),Creative & Sporting
Aberdeenshire Council,Aberdeen,Scotland,Tier 2 (A rating),Tier 2 General
Aberdeenshire Cricket Club,Aberdeen,Scotland,Tier 5 (A rating),Creative & Sporting
Aberdour School Educational Trust,Tadworth,Surrey,Tier 2 (A rating),Tier 2 General
Abergavenny Visionplus Limited TA Abergavenny Specsavers Limited,Abergavenny,Wales,Tier 2 (A rating),Tier 2 General
Abernethy Trust Ltd,Killin,Perthshire,Tier 5 (A rating),Voluntary Workers
Abersoch Dental Care,Pwllheli,Gwynedd,Tier 2 (A rating),Tier 2 General
Abertay University,Dundee,Tayside,Tier 2 (A rating),Tier 2 General
Abertay University,Dundee,Tayside,Tier 5 (A rating),Exchange
Abertridwr Community Church,Caerphilly,Caerphilly,Tier 5 (A rating),Voluntary Workers
Aberystwyth University,Aberystwyth,Ceredigion,Tier 5 (A rating),Exchange
Aberystwyth University,Aberystwyth,Ceredigion,Tier 2 (A rating),Tier 2 General
ABF Ingredients Limited,Peterborough,Ceredigion,Tier 2 (A rating),Intra Company Transfers (ICT)
ABI Research UK Ltd,Wellingborough,Ceredigion,Tier 2 (A rating),Tier 2 General
ABICARE HEALTH SOLUTIONS LTD,Glasgow,Scotland,Tier 2 (A rating),Tier 2 General
Abide Financial Ltd,London,Scotland,Tier 2 (A rating),Tier 2 General
ABIKE ADE FOUNDATION,London,Scotland,Tier 5 (A rating),Creative & Sporting
Abingdon Nurseries Limited,Abingdon,Oxfordshire,Tier 2 (A rating),Tier 2 General
Abingdon School,Abingdon,Oxon,Tier 2 (A rating),Tier 2 General
Abingdon School,Abingdon,Oxon,Tier 5 (A rating),Voluntary Workers
Abingworth LLP,London,Oxon,Tier 2 (A rating),Tier 2 General
Abingworth LLP,London,Oxon,Tier 2 (A rating),Intra Company Transfers (ICT)
Abis Resources Limited,London,Oxon,Tier 2 (A rating),Tier 2 General
ABJ LTD,Hendon,LONDON,Tier 2 (A rating),Tier 2 General
ABL Software Limited,Petersfield,Hampshire,Tier 2 (A rating),Tier 2 General
ABLEGRANGE SEVERN HEIGHTS LTD,Worcester,Hampshire,Tier 2 (A rating),Tier 2 General
ABLT Group Limited,London,Hampshire,Tier 2 (A rating),Tier 2 General
Ably Real-Time Ltd,London,Hampshire,Tier 2 (A rating),Tier 2 General
ABM Academy,Oldham,Greater Manchester,Tier 2 (A rating),Tier 2 General
ABM GLOBAL COMPLIANCE (UK) LTD,London,Greater Manchester,Tier 2 (A rating),Tier 2 General
ABM SOLICITORS,Hayes,MIDDLESEX,Tier 2 (A rating),Tier 2 General
ABM Ventures Ltd,Tonbridge,Kent,Tier 2 (A rating),Tier 2 General
"ABN AMRO Bank N.V., UK Branch",London,Kent,Tier 2 (A rating),Tier 2 General
"ABN AMRO Bank N.V., UK Branch",London,Kent,Tier 2 (A rating),Intra Company Transfers (ICT)
ABO Wind Uk Ltd,Bellshill,Kent,Tier 2 (A rating),Tier 2 General
Abode Architecture Limited,Bury,Kent,Tier 2 (A rating),Tier 2 General
Abound Electronics Ltd,London,United Kingdom,Tier 2 (A rating),Tier 2 General
ABOVE & BEYOND CREATIVE LTD T/AS ABOVE + BEYOND,London,United Kingdom,Tier 2 (A rating),Tier 2 General
Above Bar Church,Southampton,Hampshire,Tier 5 (A rating),Religious Workers
Above Bar Church,Southampton,Hampshire,Tier 5 (A rating),Voluntary Workers
ABP (LONDON) INVESTMENT LTD,London,Hampshire,Tier 2 (A rating),Tier 2 General
ABP (LONDON) INVESTMENT LTD,London,Hampshire,Tier 2 (A rating),Intra Company Transfers (ICT)
ABP Doncaster,Doncaster,Hampshire,Tier 2 (A rating),Tier 2 General
ABP Eatwell,Knowsley,Merseyside,Tier 2 (A rating),Tier 2 General
ABP Langport,Langport,Somerset,Tier 2 (A rating),Tier 2 General
ABP RESTAURANT LTD t/a Henry Wong,Birmingham,BIRMINGHAM,Tier 2 (A rating),Tier 2 General
ABP Wessex,Northallerton,North Yorkshire,Tier 2 (A rating),Tier 2 General
ABP Yetminster,Yetminster,Dorset,Tier 2 (A rating),Tier 2 General
ABPI,London,Dorset,Tier 2 (A rating),Tier 2 General
ABQ Investment UK Limited,Bournemouth,Dorset,Tier 2 (A rating),Tier 2 General
ABRAHAM AND ASSOCIATES,Southend On Sea,Dorset,Tier 2 (A rating),Tier 2 General
Abrashem Limited,Birmingham,Dorset,Tier 2 (A rating),Tier 2 General
Abraxys Ltd,London,London,Tier 2 (A rating),Tier 2 General
ABS Europe Limited,London,London,Tier 2 (A rating),Tier 2 General
ABS Europe Limited,London,London,Tier 2 (A rating),Intra Company Transfers (ICT)
ABSA Securities United Kingdom Limited,London,London,Tier 2 (A rating),Tier 2 General
ABSA Securities United Kingdom Limited,London,London,Tier 2 (A rating),Intra Company Transfers (ICT)
ABSCapCo (UK) Limited,London,London,Tier 2 (A rating),Tier 2 General
ABS-CBN Europe Ltd,London,London,Tier 2 (A rating),Tier 2 General
ABS-CBN Europe Ltd,London,London,Tier 2 (A rating),Intra Company Transfers (ICT)
Absoft Limited,Aberdeen,London,Tier 2 (A rating),Tier 2 General
Absolutdata Analytics UK Limited,Harpenden,Hertforshire,Tier 2 (A rating),Tier 2 General
Absolutdata Analytics UK Limited,Harpenden,Hertforshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Absolute Antibody Limited,Redcar,Cleveland,Tier 2 (A rating),Tier 2 General
Absolute Digital Media Limited,Chelmsford,Essex,Tier 2 (A rating),Tier 2 General
Absolute FM LLP,London,Essex,Tier 2 (A rating),Tier 2 General
Absolute Investment Partners,London,Essex,Tier 2 (A rating),Tier 2 General
ABSOLUTE RISK TECHNOLOGY LIMITED,Nottingham,Essex,Tier 2 (A rating),Tier 2 General
Absolute Software EMEA Limited,London,Essex,Tier 2 (A rating),Intra Company Transfers (ICT)
Absolute Strategy Research Limited,London,Essex,Tier 2 (A rating),Tier 2 General
Absolutely Cultured Ltd.,Hull,East Riding of Yorkshire,Tier 5 (A rating),Creative & Sporting
ABSOLUTELY NO NONSENSE ADMIN LTD,Cardiff,East Riding of Yorkshire,Tier 2 (A rating),Tier 2 General
Abstract Inc Limited,London,East Riding of Yorkshire,Tier 2 (A rating),Tier 2 General
Absynth Biologics Limited,Alderley Edge,Cheshire,Tier 2 (A rating),Tier 2 General
Abt Britain Limited,London,Cheshire,Tier 2 (A rating),Tier 2 General
Abt Britain Limited,London,Cheshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Abu Zahra Foundation,West Yorkshire,Cheshire,Tier 2 (A rating),Tier 2 General
Abundant Life Christian Centre,Londonderry,Cheshire,Tier 2 (A rating),Religious Workers
Abundant Life Christian Centre,Londonderry,Cheshire,Tier 5 (A rating),Religious Workers
AC and JA Brodie,Dorking,Surrey,Tier 5 (A rating),Creative & Sporting
AC Gilead Solicitors,London,Surrey,Tier 2 (A rating),Tier 2 General
AC Jade Trading Ltd,Surrey,Surrey,Tier 2 (A rating),Tier 2 General
ACA Compliance (Europe) Limited,London,Surrey,Tier 2 (A rating),Tier 2 General
ACA Compliance (Europe) Limited,London,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
Academies Enterprise Trust,London,Surrey,Tier 2 (A rating),Tier 2 General
Academies of Inspiration,Carshalton,Surrey,Tier 2 (A rating),Tier 2 General
Academy Films Ltd,London,Surrey,Tier 5 (A rating),Creative & Sporting
Academy Music Group,London,Surrey,Tier 2 (A rating),Tier 2 General
Academy Music Group,London,Surrey,Tier 5 (A rating),Creative & Sporting
Academy of Medical Royal Colleges,London,Surrey,Tier 5 (A rating),Exchange
Academy of Motion Picture Arts and Sciences,London,Surrey,Tier 2 (A rating),Tier 2 General
Academy of Motion Picture Arts and Sciences,London,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
Academy of Motion Picture Arts and Sciences,London,Surrey,Tier 5 (A rating),Creative & Sporting
Academy of the Annunciation,Buckfastleigh,Devon,Tier 2 (A rating),Tier 2 General
Academy Transformation Trust,Sutton Coldfield,Devon,Tier 2 (A rating),Tier 2 General
Acadian Asset Management (UK) Limited,London,United Kingdom,Tier 2 (A rating),Tier 2 General
Acadian Asset Management (UK) Limited,London,United Kingdom,Tier 2 (A rating),Intra Company Transfers (ICT)
Acal BFI UK Ltd,Wokingham,Berkshire,Tier 2 (A rating),Tier 2 General
ACAMS (UK) Ltd,London,Berkshire,Tier 2 (A rating),Tier 2 General
ACAMS (UK) Ltd,London,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Acap Advisory Ltd,London,Berkshire,Tier 2 (A rating),Tier 2 General
ACAS Traders Ltd,London,Berkshire,Tier 2 (A rating),Tier 2 General
Acast Stories Limited,London,Berkshire,Tier 2 (A rating),Tier 2 General
Accedo UK Limited,London,Berkshire,Tier 2 (A rating),Tier 2 General
Accedo UK Limited,London,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Accel Partners Management LLP,London,Berkshire,Tier 2 (A rating),Tier 2 General
Acceleration eMarketing,London,Berkshire,Tier 2 (A rating),Tier 2 General
Acceleration eMarketing,London,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Accelercomm Limited,Southampton,Hampshire,Tier 2 (A rating),Tier 2 General
Accelya UK Limited,Camberley,Surrey,Tier 2 (A rating),Tier 2 General
Accelya UK Limited,Camberley,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
"ACCENT International Consortium for Academic Programs Abroad, Ltd.",London,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
Accentra Technologies Ltd,London,Surrey,Tier 2 (A rating),Tier 2 General
Accentra Technologies Ltd,London,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
Accenture (UK) Limited,London,Surrey,Tier 2 (A rating),Tier 2 General
Accenture (UK) Limited,London,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
Access All Areas,Shrewsbury,Shropshire,Tier 5 (A rating),Creative & Sporting
Access Associates Ltd,Cheltenham,Shropshire,Tier 2 (A rating),Tier 2 General
Access Building Contractors Ltd.,London,Shropshire,Tier 2 (A rating),Tier 2 General
Access College London,London,Shropshire,Tier 2 (B rating),Tier 2 General
Access College London,London,Shropshire,Tier 2 (A rating),Tier 2 General
Access Fintech (UK) Limited,London,Shropshire,Tier 2 (A rating),Tier 2 General
Access Fintech (UK) Limited,London,Shropshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Access Industries (UK) Limited,London,Shropshire,Tier 2 (A rating),Tier 2 General
Access Industries (UK) Limited,London,Shropshire,Tier 2 (A rating),Intra Company Transfers (ICT)
ACCESS INFINITY LTD,London,Shropshire,Tier 2 (A rating),Tier 2 General
Access Intelligence PLC,London,Shropshire,Tier 2 (A rating),Tier 2 General
Access Self Storage Ltd,London,Shropshire,Tier 2 (A rating),Tier 2 General
Access UK Limited,Colchester,Essex,Tier 2 (A rating),Tier 2 General
Access UK Limited,Colchester,Essex,Tier 2 (A rating),Intra Company Transfers (ICT)
AccessData UK Limited,Bristol,Essex,Tier 2 (A rating),Tier 2 General
AccessData UK Limited,Bristol,Essex,Tier 2 (A rating),Intra Company Transfers (ICT)
accessplanit Ltd,Lancaster,Lancashire,Tier 2 (A rating),Tier 2 General
Accipio Limited,London,London,Tier 2 (A rating),Tier 2 General
Acciva Techno Soft Limited,Sidcup,Kent,Tier 2 (A rating),Tier 2 General
Acclimatise Group Ltd,"Farnsfield, Near Newark",Nottinghamshire,Tier 2 (A rating),Tier 2 General
ACCO UK LTD,Aylesbury,BUCKINGHAMSHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
Accolade Wines Limited,Bristol,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
Accolade Wines Limited,Bristol,BUCKINGHAMSHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
Accolite Labs Europe Limited,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
Accolite Labs Europe Limited,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
Accor HotelServices UK Ltd,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
Accor HotelServices UK Ltd,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
Accor UK Limited,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
Accor UK Limited,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
ACCORD GLOBAL TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Cambridge,CAMBRIDGESHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
Accord Healthcare Limited,North Harrow,Middlesex,Tier 2 (A rating),Intra Company Transfers (ICT)
Accord Healthcare Limited,North Harrow,Middlesex,Tier 2 (A rating),Tier 2 General
Accord Software and Systems Private Limited,Cambridge,Cambridgeshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Accountagility Limited,London,Cambridgeshire,Tier 2 (A rating),Tier 2 General
Accountancy and Taxation Services,London,Cambridgeshire,Tier 2 (A rating),Tier 2 General
Accountancy Global Services Ltd t/a Acumen Plus,Luton,UK,Tier 2 (A rating),Tier 2 General
Accountax World Ltd T/A Accounts and Tax World,London,UK,Tier 2 (A rating),Tier 2 General
Accounting Freedom,London,UK,Tier 2 (A rating),Tier 2 General
ACCOUNTING SQUARE LIMITED,London,UK,Tier 2 (A rating),Tier 2 General
ACCOUNTS AND LEGAL CONSULTANTS LTD,London,UK,Tier 2 (A rating),Tier 2 General
Accrington Cricket & Tennis Club,Accrington,Lancashire,Tier 5 (A rating),Creative & Sporting
Accu Technology UK Ltd,Oxford,Lancashire,Tier 2 (A rating),Intra Company Transfers (ICT)
Acculabs Diagnostics UK Ltd,Billingham,Teesside,Tier 2 (A rating),Tier 2 General
Acculegal Solicitors,London,Teesside,Tier 2 (A rating),Tier 2 General
Accuracy UK Ltd,London,Teesside,Tier 2 (A rating),Tier 2 General
AccuRx Limited,London,Teesside,Tier 2 (A rating),Tier 2 General
Accuver EMEA Ltd.,Watford,Teesside,Tier 2 (A rating),Intra Company Transfers (ICT)
Accuver EMEA Ltd.,Watford,Teesside,Tier 2 (A rating),Tier 2 General
ACE & Company UK Limited,London,Teesside,Tier 2 (A rating),Tier 2 General
ACE Group International Limited,London,Teesside,Tier 2 (A rating),Tier 2 General
ACE Hotels Trading Ltd,London,Teesside,Tier 2 (A rating),Tier 2 General
Ace Medical Partnership,Birmingham,West Midlands,Tier 2 (A rating),Tier 2 General
Ace Pro Services Ltd,London,West Midlands,Tier 2 (A rating),Tier 2 General
Ace Software Solutions Ltd,London,London,Tier 2 (A rating),Tier 2 General
Ace Technologies Limited,"Newbury Park, Illford",London,Tier 2 (A rating),Tier 2 General
ACEAXIS LIMITED,Swindon,Wiltshire,Tier 2 (A rating),Tier 2 General
ACEAXIS LIMITED,Swindon,Wiltshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Acensys Ltd,London,Wiltshire,Tier 2 (A rating),Tier 2 General
ACER International Limited,London,Wiltshire,Tier 2 (A rating),Tier 2 General
ACER International Limited,London,Wiltshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Acer UK Limited,West Drayton,Middlesex,Tier 2 (A rating),Tier 2 General
Acer UK Limited,West Drayton,Middlesex,Tier 2 (A rating),Intra Company Transfers (ICT)
ACES ACCOUNTANCY SERVICES LIMITED T/A TAXASSIST ACCOUNTANTS,Hornchurch,Essex,Tier 2 (A rating),Tier 2 General
Aceso Global Health Consultants Limited,Greater London,Essex,Tier 2 (A rating),Tier 2 General
Acetop Financial Limited,London,Essex,Tier 2 (A rating),Tier 2 General
Acetop Financial Limited,London,Essex,Tier 2 (A rating),Intra Company Transfers (ICT)
Aceville Publications Limited,Colchester,Essex,Tier 2 (A rating),Tier 2 General
ACG Europe Ltd,Corby,Essex,Tier 2 (A rating),Tier 2 General
ACG Europe Ltd,Corby,Essex,Tier 2 (A rating),Intra Company Transfers (ICT)
ACHERON CAPITAL LIMITED,London,Essex,Tier 2 (A rating),Tier 2 General
Achieve Teachers Ltd,Barnet,London,Tier 2 (A rating),Tier 2 General
Achievement for All Education Trust Limited,Newbury,Berkshire,Tier 2 (A rating),Tier 2 General
Achilles Group Limited,Abindgon,Berkshire,Tier 2 (A rating),Tier 2 General
Achilles Group Limited,Abindgon,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Achilles Therapeutics Limited,Stevenage,Hertfordshire,Tier 2 (A rating),Tier 2 General
Aci Express (UK) Ltd,Heston,Middlesex,Tier 2 (A rating),Tier 2 General
ACI Group Ltd,Slough,Berkshire,Tier 2 (A rating),Tier 2 General
ACI Worldwide (EMEA) Limited,Watford,Hertfordshire,Tier 2 (A rating),Tier 2 General
ACI Worldwide (EMEA) Limited,Watford,Hertfordshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Acin Limited,Farnborough,Hertfordshire,Tier 2 (A rating),Tier 2 General
Ackroyd House Limited,Rotherham,Hertfordshire,Tier 2 (A rating),Tier 2 General
Ackworth School,Pontefract,West Yorkshire,Tier 2 (A rating),Tier 2 General
Ackworth School,Pontefract,West Yorkshire,Tier 5 (A rating),Voluntary Workers
ACLAS Technics Limited,Livingston,West Yorkshire,Tier 2 (A rating),Tier 2 General
ACME LTD,London,West Yorkshire,Tier 2 (A rating),Tier 2 General
Acme People Limited,London,West Yorkshire,Tier 2 (A rating),Tier 2 General
Acme Vape Ltd.,Preston,Lancashire,Tier 2 (A rating),Tier 2 General
ACN ACCOUNTANTS,London,UK,Tier 2 (A rating),Tier 2 General
ACNielsen Company Limited,Oxford,Oxfordshire,Tier 2 (A rating),Intra Company Transfers (ICT)
ACNielsen Company Limited,Oxford,Oxfordshire,Tier 2 (A rating),Tier 2 General
A-Cold-Wall* Limited,London,Oxfordshire,Tier 2 (A rating),Tier 2 General
Acomb Cricket Club,York,North Yorkshire,Tier 5 (A rating),Creative & Sporting
Aconite Technology Limited,London,North Yorkshire,Tier 2 (A rating),Tier 2 General
a-connect solution (UK) limited,London,North Yorkshire,Tier 2 (A rating),Tier 2 General
Acorn Aspirations Limited,"Southampton, England",North Yorkshire,Tier 2 (A rating),Tier 2 General
Acorn Education Trust,Warminster,Wiltshire,Tier 2 (A rating),Tier 2 General
Acorn Health Care Limited,East Grinstead,West Sussex,Tier 2 (A rating),Tier 2 General
Acorn Health Partnership,Hampshire,West Sussex,Tier 2 (A rating),Tier 2 General
Acorn Insurance and Financial Services Limited,Liverpool,Merseyside,Tier 2 (A rating),Tier 2 General
Acorn Insurance and Financial Services Limited,Liverpool,Merseyside,Tier 2 (A rating),Intra Company Transfers (ICT)
Acorn IT Systems Ltd,Reading,Berkshire,Tier 2 (A rating),Tier 2 General
Acorn Lodge (bournemouth) LTD,Bournemouth,Dorset,Tier 2 (A rating),Tier 2 General
Acorn Lodge Care Home,London,Dorset,Tier 2 (A rating),Tier 2 General
Acorn Maintenance Engineering,Slough,Berks,Tier 2 (A rating),Tier 2 General
Acorn Mobility Services Limited,Steeton,West Yorkshire,Tier 2 (A rating),Tier 2 General
Acoustic & Engineering Consultants Limited,Manchester,West Yorkshire,Tier 2 (A rating),Tier 2 General
Acoustiguide Limited,London,West Yorkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Acquia Ltd,Reading,West Yorkshire,Tier 2 (A rating),Tier 2 General
Acquia Ltd,Reading,West Yorkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Acquire Performance Marketing,London,West Yorkshire,Tier 2 (A rating),Tier 2 General
Acquis Consulting UK Limited,London,West Yorkshire,Tier 2 (A rating),Tier 2 General
Acquis Consulting UK Limited,London,West Yorkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Acre Platforms Limited,London,West Yorkshire,Tier 2 (A rating),Tier 2 General
Acre Resources Ltd,London,West Yorkshire,Tier 2 (A rating),Tier 2 General
acrinax Ltd,London,West Yorkshire,Tier 2 (A rating),Tier 2 General
Acro Aircraft Seating Limited,Crawley,West Sussex,Tier 2 (A rating),Tier 2 General
Acro Aircraft Seating Limited,Crawley,West Sussex,Tier 2 (A rating),Intra Company Transfers (ICT)
Across the Pond - Study in Britain Limited,Crookham Village,West Sussex,Tier 2 (A rating),Tier 2 General
Across the Pond Productions Limited,London,West Sussex,Tier 2 (A rating),Tier 2 General
Acrotrend Solutions Limited,London,United Kingdom,Tier 2 (A rating),Tier 2 General
Acrylicize Ltd,Lodnon,London,Tier 2 (A rating),Tier 2 General
ACS Aviation Ltd,Scone,Perthshire,Tier 2 (A rating),Tier 2 General
ACS COMMUNITY PROJECTS (ACS UK) LTD,"Dagenham Heathway, Essex",Perthshire,Tier 2 (A rating),Tier 2 General
ACS International Schools Limited,Cobham,Surrey,Tier 2 (A rating),Tier 2 General
ACS International,Nottingham,Surrey,Tier 2 (A rating),Tier 2 General
ACS Professionals in Construction Ltd,Wembley,Middlesex,Tier 2 (A rating),Tier 2 General
ACT London Limited,London,Middlesex,Tier 2 (A rating),Tier 2 General
Actant Ltd,London,Middlesex,Tier 2 (A rating),Tier 2 General
Actavo (P.D.C.) Limited,Chepstow,Monmouthshire,Tier 2 (A rating),Tier 2 General
Actelligent (U.K.) Company Limited,London,Monmouthshire,Tier 2 (A rating),Tier 2 General
Actemium UK Ltd,Birmingham,Monmouthshire,Tier 2 (A rating),Tier 2 General
Acteon Group Limited,Norwich,Norfolk,Tier 2 (A rating),Tier 2 General
Acteon Group Limited,Norwich,Norfolk,Tier 2 (A rating),Intra Company Transfers (ICT)
ACTI LABORATORIES LTD,Andover,HAMPSHIRE,Tier 2 (A rating),Tier 2 General
Actifio UK Limited,London,HAMPSHIRE,Tier 2 (A rating),Tier 2 General
Actifio UK Limited,London,HAMPSHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
Actimize UK Limited,London,HAMPSHIRE,Tier 2 (A rating),Tier 2 General
Actimize UK Limited,London,HAMPSHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
Action 365 Ltd,Cheadle Hulme,Cheshire,Tier 2 (A rating),Tier 2 General
Action Aid,London,Cheshire,Tier 2 (A rating),Tier 2 General
Action Aid,London,Cheshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Action Artificial Intelligence Limited,Brighton,Cheshire,Tier 2 (A rating),Tier 2 General
Action for Children,Watford,Cheshire,Tier 2 (A rating),Tier 2 General
Action for Dolphins,London,Cheshire,Tier 2 (A rating),Tier 2 General
Action for Social Inclusion Partnership (ASIP),Enfield,London,Tier 5 (A rating),Voluntary Workers
Action Reconciliation Service for Peace,Sidmouth,Devon,Tier 5 (A rating),Voluntary Workers
Action Sustainability,London,Devon,Tier 2 (A rating),Tier 2 General
Action Transport Theatre,Ellesmere Port,Devon,Tier 5 (A rating),Creative & Sporting
ACTIONBROOK SERVICES LTD,South Woodham Ferrers,ESSEX,Tier 2 (A rating),Tier 2 General
Actis LLP,London,ESSEX,Tier 2 (A rating),Tier 2 General
Actis LLP,London,ESSEX,Tier 2 (A rating),Intra Company Transfers (ICT)
Activ Social Enterprise Limited,London,ESSEX,Tier 2 (A rating),Tier 2 General
Active Assistance,Sevenoaks,Kent,Tier 2 (A rating),Tier 2 General
Active Care,Ayr,Ayrshire,Tier 2 (A rating),Tier 2 General
ACTIVE INTERNATIONAL LTD,London,Ayrshire,Tier 2 (A rating),Tier 2 General
Active Pet,Coleshill,Amersham,Tier 2 (A rating),Tier 2 General
Active Remedial Solutions Ltd,Leicester,Amersham,Tier 2 (A rating),Tier 2 General
Active Securities Ltd,London,Amersham,Tier 2 (A rating),Tier 2 General
ACTIVE SILICON LIMITED,Iver Heath,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
Active Webdezign Ltd,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
ActiveDocs UK Limited,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
ActiveDocs UK Limited,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
ActiveIS Limited,London,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
ActiveOps Ltd,Reading,Berkshire,Tier 2 (A rating),Tier 2 General
ActiveOps Ltd,Reading,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Active,Dalry,Berkshire,Tier 5 (A rating),Creative & Sporting
ActiveViam Ltd,London,Berkshire,Tier 2 (A rating),Tier 2 General
ActiveViam Ltd,London,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
"Activision Europe, Limited",Birmingham,Berkshire,Tier 2 (A rating),Tier 2 General
